OID_,Name,OriginID,DestinationID,DestinationRank,Total_Length,Total_Walk_NLS,Total_Walk_Tobler,Total_Walk_2D,Shape_Length
2783,119557 - 169097,2916,1,1,4481.122992068368148,69.789641539450173,69.510674829681378,60.648502495543966,
2784,119562 - 169097,2917,1,1,4788.707641330036495,72.227725205389007,70.998102171296480,64.963698554011984,
2785,120534 - 169097,2919,1,1,1727.971707084238005,24.736764083783125,24.956357791486091,23.545451729477545,
2786,120564 - 169097,2920,1,1,1822.082305316080237,26.092860472643242,25.629077250751379,24.982154601919802,
2787,126109 - 169097,2921,1,1,2513.436874120165157,45.802881995858328,48.542077794699367,33.167005096826855,
2788,125989 - 169097,2922,1,1,1560.751316701579981,22.789565405421914,22.258342677019328,21.116662455731444,
2789,125990 - 169097,2923,1,1,1077.994552787070688,16.168392311245636,16.507290944314803,14.501611093985122,
2790,125991 - 169097,2924,1,1,1371.594639517850965,20.214194543251747,19.971022269696437,18.524796183545028,
2791,125992 - 169097,2925,1,1,1266.411408148864894,18.761698583909993,18.739049631296609,17.083473884246143,
2792,125993 - 169097,2926,1,1,1368.448720206745747,20.268606573898232,20.456265242622685,18.563842996645143,
2793,125994 - 169097,2927,1,1,1435.587646492895374,21.135691155113779,21.060440739858681,19.496129881657428,
2794,125996 - 169097,2929,1,1,434.615629949727406,6.984382375566473,8.635403920990958,5.845217003444773,
2795,125997 - 169097,2930,1,1,1396.581278012432222,21.071099883157927,21.199255120874614,18.920186432961827,
2796,125998 - 169097,2931,1,1,1241.538499627718238,18.644144788860469,19.245124586124238,16.848067662208518,
2797,125999 - 169097,2932,1,1,267.574397767188032,4.062767568990902,4.337094445362604,3.615256390246775,
2798,126000 - 169097,2933,1,1,887.552604169359142,13.687891275613721,14.730833548141373,11.899247447019256,
2799,126001 - 169097,2934,1,1,1571.413232902254322,23.777689966613753,24.812208756955641,21.284918871008536,
2800,126002 - 169097,2935,1,1,658.873974497221980,10.433603165157505,11.551929691702426,8.757359400619650,
2801,126003 - 169097,2936,1,1,992.564166807784318,14.999548424893865,15.400230089928737,13.333857507960964,
2802,126004 - 169097,2937,1,1,625.517986347084275,9.207998599359735,10.352662196203145,8.488866491664773,
2803,126005 - 169097,2938,1,1,1839.617130040440770,26.798444988844210,26.214383419976564,25.016080277253643,
2804,126006 - 169097,2939,1,1,1484.055244123783496,21.769258944032678,21.802190246697020,20.158984065325679,
2805,126007 - 169097,2940,1,1,801.665008097033478,11.083074861415788,11.483563872763161,10.941744874686783,
